This file was created by CMPT_IND_RETS using the 201412 CRSP database.
It contains value- and equal-weighted returns for 12 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
        NoDur  Durbl  Manuf  Enrgy  Chems  BusEq  Telcm  Utils  Shops  Hlth   Money  Other
192607   1.45  15.55   3.67  -1.18   8.01   3.16   0.83   7.04   0.11   1.77   0.37   2.24
192608   3.97   3.68   2.42   3.37   5.14   1.97   2.17  -1.69  -0.71   4.25   4.46   4.37
192609   1.14   4.80  -0.07  -3.39   5.30  -0.34   2.41   2.04   0.21   0.69  -1.23   0.35
192610  -1.24  -8.23  -3.16  -0.78  -4.55  -5.38  -0.11  -2.63  -2.29  -0.57  -5.16  -2.76
192611   5.21  -0.19   3.82   0.02   5.11   4.79   1.63   3.71   6.43   5.42   2.24   2.10
192612   0.82   9.89   3.72   2.82   5.13  -1.78   1.99  -0.17   0.62   0.11   2.68   3.43
192701  -0.67  -0.92  -0.36   1.29   0.29  -0.77   1.88  -1.79  -2.55   5.05  -2.38   1.65
192702   3.42   8.91   4.60   1.48   9.56   4.60   3.97   4.53   3.61   1.71   2.97   5.13
192703   2.74   1.62   0.36  -6.02   5.95   0.55   5.56   0.37  -0.41   1.01   1.36   1.26
192704   3.36   3.15   0.17  -5.17   2.79   6.20  -2.13   1.71   4.43   2.74   2.89   0.79
192705   8.16   5.93   5.41   4.83   4.14   7.71   3.35   9.21   2.34   4.12  10.25   6.30
192706  -1.78  -3.00  -2.58  -3.16  -1.73   2.88  -2.14  -3.57  -0.62   0.54  -0.03  -2.19
192707   4.82  13.09  10.10   2.85  17.10  13.32   3.73   5.31   9.84   9.84   6.59   6.07
192708   2.76   6.98   3.01  -0.04   2.11   6.73   0.43   3.43   7.34   0.28   1.70  -1.20
192709   5.24   5.67   4.31   3.32   5.79   0.86   6.53   8.29   7.50   5.65   6.17   4.51
192710  -0.80  -4.38  -6.66  -2.04  -6.92  -7.15  -2.09  -4.34  -4.93   5.13   4.10  -4.23
192711   6.80   6.39  11.36   4.16   8.95  11.19   2.83   6.32  11.67   3.68   8.00   4.29
192712   2.46   7.77   3.72   0.89  -0.04   2.12   1.33   2.24  -0.68  -0.46  11.08   1.41
192801   0.52  -3.34  -0.59  -1.86  -0.44  -0.44   0.30   5.87  -0.88   2.69   1.45  -1.16
192802  -4.09   1.26  -2.61  -0.22   0.99  -0.84  -0.30  -0.68  -1.12  -1.38  -2.79  -1.94
192803   4.41  27.49   6.40   5.32  12.62  22.44   1.96   6.62   8.49  10.54   9.57   5.85
192804  -0.45   1.46   2.03  15.12   0.06   2.31   3.22  10.94   0.00   2.35   8.87   3.88
192805   0.90   5.65   3.97  -5.29   2.69   1.69   6.61   1.51   3.79   9.27   2.28  -0.17
192806  -4.40  -4.08  -5.59  -4.07  -2.73  -5.35  -5.22  -3.43  -3.40  -3.15  -9.91  -3.82
192807   1.68   0.94   2.15   1.05   2.01  -0.03  -1.28  -1.24   5.44   2.39   0.29  -0.43
192808   6.12   9.04   8.17   2.41   8.91  11.17   4.55   6.46  13.53  14.57   5.23   4.70
192809   1.14   7.88   3.63   5.34   4.60   1.29   0.15   3.76   0.17  -1.14  12.14   0.89
192810   0.90   0.08   3.91   2.04   5.11   1.98   2.97  -1.89   5.90   0.05   2.60  -0.70
192811   6.66   4.51  12.74  17.23  12.89  21.68   6.68  21.93  15.29   5.05  10.00  10.02
192812  -0.52  -1.22   3.26  -4.36   1.93   8.18  -0.38   1.57  -1.32  -0.41   1.17   0.37
192901   3.37   1.30   7.10  -7.59  21.78  11.54  13.38  13.17  -3.88   3.43   8.26   5.33
192902  -2.48  -0.03   4.80  -0.10  -0.58  -0.94  -1.15  -1.99  -2.41   0.05   0.83  -0.06
192903  -4.62  -1.88  -1.28  11.03  -3.56   5.29   4.29  -3.17  -5.13  -1.50  -1.22  -2.26
192904   1.81  -0.98   1.78   0.74   3.61   1.91   3.39   5.13   3.75   1.48   0.46   0.44
192905  -3.98 -15.05 -10.45  -5.57  -7.22   0.69  -8.77   4.80  -8.65  -7.84  -3.20   0.35
192906   5.32   7.01  10.71   1.14  19.59  18.18  13.70  23.47   9.47   4.52   6.34   5.67
192907   3.24  -2.95   3.86   0.17   4.83   9.42  13.68   9.14   0.96   2.59   8.43   6.29
192908   4.78   3.00   8.97  11.36  10.92  12.36  10.98   9.05   7.80   3.09   6.13   8.12
192909  -3.58  -8.35  -7.16  -2.95  -6.26  -8.34  -1.37   1.32  -5.38  -7.02  -5.93  -6.52
192910 -10.63 -28.94 -17.18 -10.07 -24.79 -29.57 -15.39 -30.04 -24.00 -18.02 -29.40  -9.12
192911  -8.45 -17.31 -13.50  -6.42 -16.13 -19.70  -9.47 -14.64 -12.59  -7.90 -14.02  -9.03
192912   0.71   4.90   0.12  -1.18   5.82  11.87   1.01   7.94  -5.98   1.11   0.16  -0.57
193001   5.74   5.95   6.44  -0.76   8.53  10.77   1.20   7.25   4.73   2.55   9.68   4.19
193002   2.15   2.44   2.61  -4.49   2.11   7.23   7.06   8.57  -5.13   3.15   6.13   2.94
193003   2.12  11.37   5.93  17.94   9.96   8.00   8.79   9.72  -2.44   5.99   8.64   4.30
193004   0.55  -7.81  -7.67   6.55  -4.96   1.59  -4.52   3.34   2.60  -1.27  -4.02  -6.89
193005   1.36   4.12  -1.60  -3.73  -2.43  -4.58   0.40  -1.33  -0.16  -1.49  -5.60  -0.28
193006 -11.03 -22.27 -15.92 -15.47 -17.83 -20.18  -8.34 -19.06 -16.15 -13.34 -21.51 -10.54
193007   3.14  12.10   4.29   5.18   5.71   4.14   1.27   4.06   2.70   6.52   4.42   3.31
193008   1.99  -1.89  -1.34  -3.20   3.87   1.74   1.74   1.18   4.96   7.71   1.27  -0.62
193009  -8.93 -16.73 -13.80 -15.46 -13.15 -19.11  -5.27 -11.92 -10.91  -8.70 -18.13  -9.36
193010  -4.85 -11.64  -9.68  -8.37 -10.71 -18.07  -4.12  -8.28  -8.61  -4.37 -15.43  -7.43
193011   0.18   5.37  -0.52  -3.72  -0.36  -3.50  -3.27  -8.74   2.74  -3.23  -8.45  -4.73
193012  -4.59  -1.26  -9.92 -12.32  -4.73 -10.58  -3.80  -3.69 -13.44  -6.79 -12.53  -8.34
193101   5.43   8.02   4.64   5.31   1.19   5.19   4.79   5.53   7.19   8.23  18.42  11.03
193102   6.81  17.37  13.42   5.63  11.70  23.61   5.95  15.27  14.79   7.81  17.32   3.99
193103  -1.68  -3.81  -6.98 -14.26  -6.29  -7.87  -3.58  -2.94  -3.27   1.80  -8.55  -9.54
193104  -5.29  -7.87 -15.12 -13.45 -10.72 -14.21  -4.25  -9.04  -4.84  -3.62 -15.16  -9.09
193105 -11.00 -16.08 -18.61 -12.54 -11.73 -12.37  -8.94 -11.15  -3.27 -10.26 -19.06 -17.21
193106  10.74  14.63  17.57  17.58  16.78  19.14  10.21  11.00   7.86   9.69  23.48  15.36
193107  -3.81  -2.10 -12.63  -3.63  -5.24 -10.63  -4.87  -5.39  -1.53   2.61  -8.81 -10.15
193108  -0.64  -2.78  -0.36   9.62   0.83   3.55   0.82  -1.74   3.02   0.39   0.39  -4.86
193109 -24.57 -34.80 -28.84 -29.74 -31.43 -34.65 -21.56 -33.05 -30.24 -29.45 -40.02 -23.32
193110   6.89  12.96   5.82  14.84   7.30  11.58   4.34  10.48  13.97  11.26  12.02   0.01
193111  -4.35  -3.49  -9.97  -8.13  -5.67 -14.51  -6.86  -4.77  -9.40  -2.79 -11.19 -20.86
193112  -9.50  -8.78 -19.89 -18.92  -6.76 -13.75  -7.94 -13.24 -15.17  -4.10 -20.98 -15.41
193201   2.08  -6.90   1.79  -4.83  -4.32 -12.71  -4.04  -2.52   0.79  -2.66   3.75   7.36
193202   5.36   2.09   4.56   8.50   7.35   7.71  11.63   7.04   4.11   2.05  13.62  -3.10
193203  -5.97 -22.18 -14.69  -0.69 -12.80 -15.95  -9.90  -9.57  -9.27  -6.41 -15.21 -16.18
193204 -11.32 -29.53 -20.66 -13.47 -27.72 -22.52 -12.39 -15.50 -15.71 -19.77 -19.26 -23.10
193205 -21.15 -18.59 -21.34  -4.94 -12.90 -30.20 -10.81 -26.82 -29.40 -34.08 -30.32 -29.95
193206   1.17  -7.82   1.16   5.55  -7.98   7.99  -9.55   1.45  -0.59  11.05   6.25  -4.14
193207  24.78  44.95  46.64  35.13  30.16  49.48  16.70  29.35  27.11  29.18  52.07  56.86
193208  22.76  45.25  52.18  19.50  33.17  48.24  28.17  43.46  32.91  35.87  59.48  58.54
193209  -0.86   8.50  -5.62 -10.16   4.74  -6.11   0.24  -4.65   3.06 -11.92  -6.87  -3.35
193210 -11.36 -24.75 -15.92  -3.79 -14.72 -20.63  -8.13 -10.82 -12.68 -18.56 -17.18 -18.23
193211  -7.09  -2.71 -13.95  -4.53  -2.45  -8.84  -1.12  -3.60  -5.61   5.53  -3.39  -7.84
193212   3.80   4.47  -0.51   0.05  10.70   6.87   3.67   9.12   5.00   6.82   8.87   3.74
193301   4.78   0.83   4.73  -2.70   1.69   0.60   0.31  -4.38  -2.40  -1.13   1.51  10.68
193302  -9.04 -24.48 -17.41 -13.99 -17.25 -21.28  -7.77 -19.85 -17.96 -10.82 -20.14 -15.39
193303  10.36   9.23  13.76   4.31   6.41   6.64  -5.85 -12.79   8.53  -3.16  -6.84   6.60
193304  34.31  79.79  60.17  38.97  48.60  58.59  13.22  25.36  42.45  37.13  42.80  27.95
193305  12.71  26.05  25.78  17.68  25.97  19.80  17.37  19.29  17.06  23.49  26.21  32.86
193306  10.33  20.75  13.12  12.52  10.60  11.38  10.50  15.58  16.26  10.39  18.49  13.54
193307  -6.61  -7.05 -12.17 -12.05  -9.47 -11.48  -4.36 -13.58 -13.46 -19.11 -12.47  -5.21
193308   9.88  20.76  14.39  19.07  19.23  13.30   4.53  -1.23   7.15  -0.38   9.16  15.86
193309  -7.44 -15.32 -10.99  -2.69  -8.23 -18.41  -3.56 -19.74  -8.74  -1.31 -16.95 -16.30
193310  -9.09 -10.06  -9.87  -4.85  -4.64 -10.11  -7.18  -7.50  -7.83  -6.02 -13.03 -10.36
193311   5.22  25.38  11.63  14.69  14.42  13.20   5.63  -2.39  14.45   9.40   6.55   5.08
193312  -3.39  10.45   4.34  -1.20   5.04   1.07  -3.75   1.05   4.57 -11.73   3.45   4.99
193401  10.01  13.20  14.65   8.72   5.12  16.95   5.97  20.52  17.30  16.77  23.93  17.42
193402  -4.97  -2.06  -3.36  -3.38  -2.47  -7.40   2.12  -1.69   3.03  -3.59  -1.73  -1.92
193403   1.17  -0.30  -1.03  -1.33  -1.81   4.21   1.27  -1.80   2.40  -0.64   0.58   0.88
193404   3.10  -6.85  -2.33  -1.99  -2.76  -3.72  -1.25  -3.75  -1.21   8.00  -1.06  -1.78
193405  -2.99 -12.82 -11.29  -4.63  -6.76  -8.13  -4.30  -7.73  -7.92  -0.38  -8.34  -7.13
193406   3.85  -2.75   3.85   1.20   4.83   2.75   1.32   4.26   2.43   2.04   5.08   2.65
193407  -5.12 -13.83 -14.69  -9.73  -5.18 -13.90  -4.34 -17.24  -8.35  -1.89 -14.77 -17.87
193408   4.24  10.87   8.00   6.12   6.32   7.36   2.56   2.04   4.72  -3.05   5.65   4.07
193409   0.24   0.68  -1.93  -2.32   0.32  -0.58   1.90   1.61   2.55   0.80  -2.40   0.15
193410   0.61  -2.08  -1.11  -4.69   1.13  -2.26  -1.56  -7.61   1.68  -0.71   1.86  -3.18
193411   8.50  17.61  14.58   7.03   9.08  15.05  -1.73  -0.25   9.61   4.07   8.68   4.87
193412  -0.94   3.56   3.65   0.68  -0.18   4.12  -0.59  -8.66  -1.04   0.62   1.44  -0.60
193501  -1.41  -9.03  -3.17  -4.37  -0.85   1.26  -0.46  -3.16  -5.27  -0.86  -4.98  -7.16
193502   1.61  -3.27  -2.95  -3.35   0.92  -1.19   1.04 -12.16  -0.62   4.25  -1.66  -5.52
193503  -4.62  -5.82  -5.25  -3.82  -3.60  -4.98  -0.72  12.34  -4.33  -3.14  -1.84  -6.31
193504   5.73   5.73   9.85  15.48   8.26   9.15   9.13  11.14   6.47   3.18   6.29   9.48
193505   1.10   2.96   1.44   3.51   2.44   2.99   8.38  13.76   2.53  -4.02   5.69   3.37
193506   5.51   9.78   6.94   1.51   5.84   8.06   5.35   9.11   6.28   4.09   7.35   6.02
